catalog_row,A,B,C,D,E,F,pathname,selected
107,BUR-BUR-MER-ASKERIYE3,BURDUR2,DEBI,02May2025,5Minute,Q2,/BUR-BUR-MER-ASKERIYE3/BURDUR2/DEBI/02May2025/5Minute/Q2/,False
108,BUR-BUR-MER-ASKERIYE3,BURDUR2,DEBI,02May2025,5Minute,Q25,/BUR-BUR-MER-ASKERIYE3/BURDUR2/DEBI/02May2025/5Minute/Q25/,False
109,BUR-BUR-MER-ASKERIYE3,BURDUR2,DEBI,02May2025,5Minute,Q5,/BUR-BUR-MER-ASKERIYE3/BURDUR2/DEBI/02May2025/5Minute/Q5/,False
110,BUR-BUR-MER-ASKERIYE3,BURDUR2,DEBI,02May2025,5Minute,Q50,/BUR-BUR-MER-ASKERIYE3/BURDUR2/DEBI/02May2025/5Minute/Q50/,False
111,BUR-BUR-MER-ASKERIYE3,BURDUR2,DEBI,02May2025,5Minute,Q500,/BUR-BUR-MER-ASKERIYE3/BURDUR2/DEBI/02May2025/5Minute/Q500/,False
112,BUR-BUR-MER-ASKERIYE-T,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-ASKERIYE-T/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
113,BUR-BUR-MER-ASKERIYE-T,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-ASKERIYE-T/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
114,BUR-BUR-MER-ASKERIYE-T,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-ASKERIYE-T/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
115,BUR-BUR-MER-ASKERIYE-T,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-ASKERIYE-T/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
116,BUR-BUR-MER-ASKERIYE-T,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-ASKERIYE-T/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
117,BUR-BUR-MER-ASKERIYE-T,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-ASKERIYE-T/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
118,BUR-BUR-MER-ASKERIYE-T,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-ASKERIYE-T/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
119,BUR-BUR-MER-ASKERIYE-T,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-ASKERIYE-T/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
120,BUR-BUR-MER-ATATURK,BURDUR2,DEBI,01May2025,30Minute,Q10,/BUR-BUR-MER-ATATURK/BURDUR2/DEBI/01May2025/30Minute/Q10/,False
121,BUR-BUR-MER-ATATURK,BURDUR2,DEBI,01May2025,30Minute,Q100,/BUR-BUR-MER-ATATURK/BURDUR2/DEBI/01May2025/30Minute/Q100/,False
122,BUR-BUR-MER-ATATURK,BURDUR2,DEBI,01May2025,30Minute,Q1000,/BUR-BUR-MER-ATATURK/BURDUR2/DEBI/01May2025/30Minute/Q1000/,False
123,BUR-BUR-MER-ATATURK,BURDUR2,DEBI,01May2025,30Minute,Q2,/BUR-BUR-MER-ATATURK/BURDUR2/DEBI/01May2025/30Minute/Q2/,False
124,BUR-BUR-MER-ATATURK,BURDUR2,DEBI,01May2025,30Minute,Q25,/BUR-BUR-MER-ATATURK/BURDUR2/DEBI/01May2025/30Minute/Q25/,False
125,BUR-BUR-MER-ATATURK,BURDUR2,DEBI,01May2025,30Minute,Q5,/BUR-BUR-MER-ATATURK/BURDUR2/DEBI/01May2025/30Minute/Q5/,False
126,BUR-BUR-MER-ATATURK,BURDUR2,DEBI,01May2025,30Minute,Q50,/BUR-BUR-MER-ATATURK/BURDUR2/DEBI/01May2025/30Minute/Q50/,False
127,BUR-BUR-MER-ATATURK,BURDUR2,DEBI,01May2025,30Minute,Q500,/BUR-BUR-MER-ATATURK/BURDUR2/DEBI/01May2025/30Minute/Q500/,False
128,BUR-BUR-MER-ATATURK1,BURDUR2,DEBI,02May2025,5Minute,Q10,/BUR-BUR-MER-ATATURK1/BURDUR2/DEBI/02May2025/5Minute/Q10/,False
129,BUR-BUR-MER-ATATURK1,BURDUR2,DEBI,02May2025,5Minute,Q100,/BUR-BUR-MER-ATATURK1/BURDUR2/DEBI/02May2025/5Minute/Q100/,False
130,BUR-BUR-MER-ATATURK1,BURDUR2,DEBI,02May2025,5Minute,Q1000,/BUR-BUR-MER-ATATURK1/BURDUR2/DEBI/02May2025/5Minute/Q1000/,False
131,BUR-BUR-MER-ATATURK1,BURDUR2,DEBI,02May2025,5Minute,Q2,/BUR-BUR-MER-ATATURK1/BURDUR2/DEBI/02May2025/5Minute/Q2/,False
132,BUR-BUR-MER-ATATURK1,BURDUR2,DEBI,02May2025,5Minute,Q25,/BUR-BUR-MER-ATATURK1/BURDUR2/DEBI/02May2025/5Minute/Q25/,False
133,BUR-BUR-MER-ATATURK1,BURDUR2,DEBI,02May2025,5Minute,Q5,/BUR-BUR-MER-ATATURK1/BURDUR2/DEBI/02May2025/5Minute/Q5/,False
134,BUR-BUR-MER-ATATURK1,BURDUR2,DEBI,02May2025,5Minute,Q50,/BUR-BUR-MER-ATATURK1/BURDUR2/DEBI/02May2025/5Minute/Q50/,False
135,BUR-BUR-MER-ATATURK1,BURDUR2,DEBI,02May2025,5Minute,Q500,/BUR-BUR-MER-ATATURK1/BURDUR2/DEBI/02May2025/5Minute/Q500/,False
136,BUR-BUR-MER-ATATURK2,BURDUR2,DEBI,02May2025,5Minute,Q10,/BUR-BUR-MER-ATATURK2/BURDUR2/DEBI/02May2025/5Minute/Q10/,False
137,BUR-BUR-MER-ATATURK2,BURDUR2,DEBI,02May2025,5Minute,Q100,/BUR-BUR-MER-ATATURK2/BURDUR2/DEBI/02May2025/5Minute/Q100/,False
138,BUR-BUR-MER-ATATURK2,BURDUR2,DEBI,02May2025,5Minute,Q1000,/BUR-BUR-MER-ATATURK2/BURDUR2/DEBI/02May2025/5Minute/Q1000/,False
139,BUR-BUR-MER-ATATURK2,BURDUR2,DEBI,02May2025,5Minute,Q2,/BUR-BUR-MER-ATATURK2/BURDUR2/DEBI/02May2025/5Minute/Q2/,False
140,BUR-BUR-MER-ATATURK2,BURDUR2,DEBI,02May2025,5Minute,Q25,/BUR-BUR-MER-ATATURK2/BURDUR2/DEBI/02May2025/5Minute/Q25/,False
141,BUR-BUR-MER-ATATURK2,BURDUR2,DEBI,02May2025,5Minute,Q5,/BUR-BUR-MER-ATATURK2/BURDUR2/DEBI/02May2025/5Minute/Q5/,False
142,BUR-BUR-MER-ATATURK2,BURDUR2,DEBI,02May2025,5Minute,Q50,/BUR-BUR-MER-ATATURK2/BURDUR2/DEBI/02May2025/5Minute/Q50/,False
