catalog_row,A,B,C,D,E,F,pathname,selected
106,BUR-AFY-BAS-CIGRI-T,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-CIGRI-T/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
107,BUR-AFY-BAS-CIGRI-T,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-CIGRI-T/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
108,BUR-AFY-BAS-CIGRI-T,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-CIGRI-T/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
109,BUR-AFY-BAS-CIGRI-T,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-CIGRI-T/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
110,BUR-AFY-BAS-CIGRI-T,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-CIGRI-T/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
111,BUR-AFY-BAS-CIGRI-T,ACIGOL,DEBI,01May2025,30Minute,Q500,/BUR-AFY-BAS-CIGRI-T/ACIGOL/DEBI/01May2025/30Minute/Q500/,False
112,BUR-AFY-BAS-HIRKAKOY,ACIGOL,DEBI,01May2025,30Minute,Q10,/BUR-AFY-BAS-HIRKAKOY/ACIGOL/DEBI/01May2025/30Minute/Q10/,False
113,BUR-AFY-BAS-HIRKAKOY,ACIGOL,DEBI,01May2025,30Minute,Q100,/BUR-AFY-BAS-HIRKAKOY/ACIGOL/DEBI/01May2025/30Minute/Q100/,False
114,BUR-AFY-BAS-HIRKAKOY,ACIGOL,DEBI,01May2025,30Minute,Q1000,/BUR-AFY-BAS-HIRKAKOY/ACIGOL/DEBI/01May2025/30Minute/Q1000/,False
115,BUR-AFY-BAS-HIRKAKOY,ACIGOL,DEBI,01May2025,30Minute,Q2,/BUR-AFY-BAS-HIRKAKOY/ACIGOL/DEBI/01May2025/30Minute/Q2/,False
116,BUR-AFY-BAS-HIRKAKOY,ACIGOL,DEBI,01May2025,30Minute,Q25,/BUR-AFY-BAS-HIRKAKOY/ACIGOL/DEBI/01May2025/30Minute/Q25/,False
117,BUR-AFY-BAS-HIRKAKOY,ACIGOL,DEBI,01May2025,30Minute,Q5,/BUR-AFY-BAS-HIRKAKOY/ACIGOL/DEBI/01May2025/30Minute/Q5/,False
118,BUR-AFY-BAS-HIRKAKOY,ACIGOL,DEBI,01May2025,30Minute,Q50,/BUR-AFY-BAS-HIRKAKOY/ACIGOL/DEBI/01May2025/30Minute/Q50/,False
