SN,Easting,Northing,Bed width,Bank slope,Bed elevation,Type
261,616325.414,3097685.265,4.527,0,632.432,Normal
262,616324.517,3097684.821,4.527,0,632.4315,Normal
263,616323.632,3097684.356,4.527,0,632.431,Normal
264,616322.759,3097683.868,4.527,0,632.4305,Normal
265,616321.899,3097683.359,4.527,0,632.43,Normal
266,616321.051,3097682.828,4.527,0,632.4295,Normal
267,616320.217,3097682.276,4.527,0,632.429,Normal
268,616319.397,3097681.704,4.527,0,632.4285,Normal
269,616318.592,3097681.111,4.527,0,632.428,Normal
270,616317.802,3097680.499,4.527,0,632.4275,Normal
271,616317.027,3097679.867,4.527,0,632.427,Normal
272,616316.268,3097679.215,4.527,0,632.4265,Normal
273,616315.526,3097678.545,4.527,0,632.426,Normal
274,616314.801,3097677.857,4.527,0,632.4255,Normal
275,616314.093,3097677.15,4.527,0,632.425,Normal
276,616313.403,3097676.426,4.527,0,632.4245,Normal
277,616312.731,3097675.685,4.527,0,632.424,Normal
278,616312.079,3097674.928,4.527,0,632.4235,Normal
279,616311.445,3097674.154,4.527,0,632.423,Normal
280,616310.831,3097673.365,4.527,0,632.4225,Normal
281,616310.236,3097672.561,4.527,0,632.422,Normal
282,616309.662,3097671.742,4.527,0,632.4215,Normal
283,616309.109,3097670.909,4.93,0,632.421,Normal
284,616308.577,3097670.063,5.2,0,632.4205,Normal
285,616308.066,3097669.203,5.2,0,632.42,Normal
286,616307.576,3097668.331,5.2,0,632.4195,Normal
287,616307.102,3097667.451,5.2,0,632.419,Normal
288,616306.627,3097666.571,5.2,0,632.419,Normal
289,616306.153,3097665.69,5.2,0,632.4185,Normal
290,616305.679,3097664.81,5.2,0,632.418,Normal
291,616305.205,3097663.93,5.2,0,632.4175,Normal
292,616304.73,3097663.049,5.2,0,632.417,Normal
293,616304.256,3097662.169,5.2,0,632.4165,Normal
294,616303.782,3097661.288,5.2,0,632.416,Normal
295,616303.308,3097660.408,5.2,0,632.4155,Normal
296,616302.833,3097659.528,5.2,0,632.415,Normal
297,616302.359,3097658.647,5.2,0,632.4145,Normal
298,616301.885,3097657.767,5.2,0,632.414,Normal
299,616301.411,3097656.886,5.2,0,632.4135,Normal
300,616300.937,3097656.006,5.2,0,632.413,Normal
301,616300.462,3097655.126,5.2,0,632.4125,Normal
302,616299.988,3097654.245,5.2,0,632.412,Normal
303,616299.514,3097653.365,5.2,0,632.4115,Normal
304,616299.04,3097652.484,5.2,0,632.411,Normal
305,616298.565,3097651.604,5.2,0,632.4105,Normal
306,616298.091,3097650.724,5.2,0,632.41,Normal
307,616297.617,3097649.843,5.2,0,632.4095,Normal
308,616297.143,3097648.963,5.2,0,632.409,Normal
309,616296.668,3097648.082,5.2,0,632.4085,Normal
310,616296.194,3097647.202,5.2,0,632.408,Normal
311,616295.72,3097646.322,5.2,0,632.4075,Normal
312,616295.246,3097645.441,5.2,0,632.407,Normal
313,616294.772,3097644.561,5.2,0,632.4065,Normal
314,616294.297,3097643.68,5.2,0,632.406,Normal
315,616293.823,3097642.8,5.2,0,632.4055,Normal
316,616293.349,3097641.92,5.2,0,632.405,Normal
317,616292.875,3097641.039,5.2,0,632.4045,Normal
318,616292.4,3097640.159,5.2,0,632.404,Normal
319,616291.926,3097639.278,5.2,0,632.4035,Normal
320,616291.452,3097638.398,5.2,0,632.403,Normal
321,616290.978,3097637.518,5.2,0,632.4025,Normal
322,616290.503,3097636.637,5.2,0,632.402,Normal
323,616290.029,3097635.757,5.2,0,632.4015,Normal
324,616289.555,3097634.876,5.2,0,632.401,Normal
325,616289.081,3097633.996,5.2,0,632.4005,Normal
326,616288.607,3097633.116,5.2,0,632.4,Normal
327,616288.132,3097632.235,5.2,0,632.3995,Normal
328,616287.658,3097631.355,5.2,0,632.399,Normal
329,616287.184,3097630.474,5.2,0,632.3985,Normal
330,616286.71,3097629.594,5.2,0,632.398,Normal
331,616286.235,3097628.714,5.2,0,632.3975,Normal
